channel,attribution_class,lifecycle_index,pct_delta,lifecycle_role
Direct Mail,Gainer,0.0876,1.8278,Acquisition-oriented
Push,Stable,0.0282,-0.0763,Acquisition-oriented
Other Websites,Gainer,0.0249,0.2612,Acquisition-oriented
SMS,Loser,0.0168,-0.1747,Acquisition-oriented
Display,Gainer,0.0057,0.4255,Acquisition-oriented
Natural Search,Gainer,-0.0002,0.8842,Neutral
Print,Gainer,-0.001,1.2532,Neutral
Comparison Shopping,Stable,-0.001,-0.0197,Neutral
Podcast,Gainer,-0.0017,0.9338,Neutral
Social Referrals,Gainer,-0.0019,1.2748,Neutral
Paid Search,Gainer,-0.0026,0.1209,Neutral
Social Campaign,Gainer,-0.0036,0.518,Neutral
Television,Gainer,-0.0062,0.9113,Closure-oriented
Email,Loser,-0.0087,-0.439,Closure-oriented
In-App Messaging,Loser,-0.0974,-0.3638,Closure-oriented
LLM,Loser,-0.1853,-0.4321,Closure-oriented
